,eta,mu,K,epsilon,r2,mse
246,0.03,0.021714285714285714,34,1.715714285714286,,
247,0.03,0.021714285714285714,34,2.0,,
248,0.03,0.021714285714285714,40,0.01,,
249,0.03,0.021714285714285714,40,0.2942857142857143,,
250,0.03,0.021714285714285714,40,0.5785714285714286,,
251,0.03,0.021714285714285714,40,0.862857142857143,,
252,0.03,0.021714285714285714,40,1.1471428571428572,,
253,0.03,0.021714285714285714,40,1.4314285714285715,,
254,0.03,0.021714285714285714,40,1.715714285714286,,
255,0.03,0.021714285714285714,40,2.0,,
256,0.03,0.028785714285714286,1,0.01,,
257,0.03,0.028785714285714286,1,0.2942857142857143,,
258,0.03,0.028785714285714286,1,0.5785714285714286,,
259,0.03,0.028785714285714286,1,0.862857142857143,,
260,0.03,0.028785714285714286,1,1.1471428571428572,,
