,QKLMS,QKLMS_AKB,QKLMS_AMK
533,4.920168005,5.563731011,12.86158374
534,5.254874193,5.948938956,14.42384254
535,5.548556531,6.316224633,16.21661037
536,5.884296994,6.680750093,18.0805262
537,6.203672012,7.044138382,20.11872788
538,6.491656587,7.382025664,22.22405924
539,6.772393402,7.680185554,24.33705007
540,7.01167736,7.950806594,26.48304207
541,7.220564063,8.172455068,28.54422442
542,7.401521665,8.341613568,30.42478458
543,7.531302696,8.448186976,31.93222693
544,7.624507852,8.484238086,33.18719399
545,7.633182739,8.485891478,34.02369542
546,7.641114117,8.407465456,34.53123593
547,7.609141727,8.277227386,34.73763778
548,7.524873061,8.135530295,34.08986723
549,7.414007323,7.930130795,33.40524823
550,7.278206743,7.717566181,32.00175926
551,7.126929748,7.452272536,30.50544082
552,6.94917951,7.184559929,28.66448939
553,6.761770607,6.902657917,26.77324687
554,6.546493959,6.627204096,24.73890958
555,6.360669437,6.351219462,22.80823969
556,6.142171284,6.033841669,20.74743572
557,5.914597943,5.767673882,18.84196552
558,5.694617295,5.484428558,17.00585427
559,5.454658332,5.203908101,15.3021575
560,5.232769885,4.926508834,13.78767606
561,4.990192551,4.670260301,12.35389094
562,4.776079449,4.403066607,11.06949131
563,4.541728319,4.163318958,9.936224262
564,4.327454956,3.892750999,8.81166537
565,4.125699928,3.665974884,7.880424078
566,3.904876295,3.438361772,7.048832841
567,3.693822695,3.243954884,6.340715425
568,3.496806308,3.031867736,5.67978601
569,3.296757922,2.858517042,5.122176865
570,3.115511973,2.679808657,4.612779158
571,2.937566437,2.524625537,4.173318152
572,2.771567222,2.384331535,3.784600936
573,2.606235454,2.254744767,3.440696207
574,2.461898766,2.125991569,3.146788573
575,2.327069498,2.024799925,2.887374742
576,2.195064548,1.934386288,2.674541641
577,2.084766055,1.855831168,2.481435715
578,1.978276076,1.795403675,2.320201709
579,1.896806805,1.726611163,2.175906228
580,1.816687049,1.688998494,2.072789568
581,1.756528549,1.652043244,1.983136546
582,1.699476738,1.627723238,1.927034166
583,1.661544195,1.614908688,1.886017803
584,1.638227884,1.618375969,1.860792644
585,1.627526892,1.629271265,1.859543059
586,1.621562969,1.657855538,1.892037513
587,1.632529822,1.701994515,1.945348631
588,1.663838165,1.766683298,2.027607552
589,1.696792617,1.836468384,2.135082437
590,1.764197918,1.944064998,2.290845072
591,1.852811789,2.053129915,2.497886396
592,1.96054128,2.213581955,2.759367529
593,2.086475565,2.396109297,3.089842878
594,2.237070402,2.617987531,3.511393309
595,2.431055647,2.868863103,4.053385904
596,2.640767425,3.180679244,4.72976084
597,2.908291025,3.54825611,5.576482716
598,3.211661902,3.961870728,6.623585757
599,3.548455176,4.440129462,7.934899063
600,3.95726304,4.963237227,9.561371508
601,4.395337394,5.51113837,11.5140424
602,4.868753273,6.138807637,13.77398101
603,5.374494213,6.779529258,16.58582881
604,5.909968256,7.420723874,19.72226683
605,6.437029072,8.066605101,23.40728604
606,6.978878986,8.695309451,27.34048548
607,7.468800301,9.272930569,31.52769766
608,7.923555641,9.770524675,35.96422703
609,8.31051052,10.19033493,40.40683071
610,8.606194013,10.4745979,44.68928294
611,8.80479737,10.6272601,48.34059558
612,8.960892897,10.67155082,51.39471226
613,8.997093532,10.59404362,53.39277426
614,8.978880753,10.42502352,54.72912195
615,8.877552605,10.12590383,54.70726474
616,8.727491291,9.80274114,53.51785575
617,8.549034761,9.393438498,51.31303686
618,8.316772015,8.969794804,48.40142281
619,8.073543323,8.505910711,44.78425848
620,7.831820848,8.038563278,40.75802767
621,7.547040522,7.585387923,36.55555871
622,7.27902616,7.168453086,32.41217419
623,6.993523378,6.71098661,28.54747927
624,6.73396469,6.303891495,24.97642192
625,6.454685704,5.895636708,21.6684884
626,6.162106228,5.524996677,18.66196269
627,5.89416003,5.140303156,16.09504428
628,5.605366311,4.795810761,13.82663203
629,5.338351199,4.453949055,11.86337466
630,5.063409871,4.138617893,10.08937749
631,4.76243523,3.808470685,8.710833815
632,4.483691622,3.503455154,7.506460573
633,4.210350108,3.204687908,6.460456045
634,3.931187459,2.94725202,5.560213317
635,3.6523068,2.672617012,4.788742615
636,3.381663716,2.442382853,4.134911362
637,3.121471295,2.212815286,3.587309161
638,2.857849031,2.006647586,3.10526387
639,2.609798934,1.834462756,2.673309208
640,2.358996298,1.662665713,2.312598084
641,2.128770386,1.515785045,2.00464123
642,1.914980659,1.381510777,1.732747601
643,1.717229401,1.257217028,1.513860106
644,1.552347357,1.154307219,1.323507266
645,1.392578494,1.063116887,1.16409898
646,1.248445317,0.995089353,1.03449569
647,1.1264652,0.933907297,0.929997306
648,1.022698128,0.881654501,0.841260265
649,0.940782808,0.840697333,0.770896674
650,0.876533521,0.804399916,0.713022898
651,0.818061117,0.777587526,0.667007102
652,0.778125397,0.759267828,0.629428473
653,0.748686967,0.743322902,0.599150563
654,0.72581011,0.732512432,0.574842041
655,0.709869946,0.724514273,0.555187435
656,0.701187097,0.718725213,0.539588567
657,0.695438054,0.715775297,0.527026499
658,0.693664223,0.714290382,0.516917251
659,0.694406614,0.714375816,0.509031131
660,0.697103604,0.71562988,0.50329731
661,0.700969468,0.717775523,0.499008113
662,0.706137886,0.720851829,0.495843942
663,0.711881913,0.723559912,0.494052489
664,0.716864727,0.727748913,0.493078396
665,0.72484207,0.73302995,0.493104011
666,0.732615867,0.737099078,0.493977316
667,0.740310889,0.744137306,0.495609232
668,0.746008431,0.751158372,0.497587505
669,0.754726252,0.757350306,0.500835306
670,0.762721336,0.76500413,0.503696765
671,0.774928259,0.771517742,0.507561064
672,0.783893854,0.7801238,0.511614958
673,0.794220403,0.790305108,0.516262712
674,0.803167929,0.796674654,0.521572218
675,0.81181674,0.805261241,0.527012527
676,0.824096587,0.815607798,0.531715593
677,0.832615728,0.827507032,0.538172655
678,0.846250837,0.838085485,0.544428253
679,0.85524774,0.849541869,0.550970448
680,0.868530115,0.857324409,0.557170759
681,0.879785859,0.870199532,0.564349777
682,0.892910037,0.888513186,0.571021283
683,0.906706657,0.901248939,0.578799817
684,0.915698205,0.911896256,0.584043613
685,0.928984687,0.926358533,0.592077665
686,0.944195878,0.943332933,0.599443791
687,0.956835627,0.957058487,0.60519194
688,0.97639312,0.97438306,0.611978447
689,0.989869923,0.992133371,0.616508188
690,1.007129301,1.006908618,0.623456819
691,1.021432007,1.028546924,0.626765294
692,1.034914128,1.056964537,0.634286912
693,1.043556328,1.071292293,0.639907689
694,1.064442238,1.091185732,0.641865978
695,1.081343588,1.113854555,0.641966326
696,1.09400258,1.135278493,0.643910591
697,1.105859259,1.15968582,0.642785134
698,1.113656381,1.173124151,0.639869127
699,1.120928008,1.197546867,0.635119832
700,1.132387796,1.211976569,0.6288341
701,1.132220993,1.228855093,0.618751008
702,1.13085733,1.234035879,0.60423162
703,1.119299312,1.234645025,0.589224408
704,1.099515655,1.240782916,0.570802986
705,1.068549883,1.21962004,0.551431837
706,1.029859185,1.204758587,0.531462058
707,0.986475451,1.160682162,0.512430958
708,0.935088118,1.117591099,0.498038777
709,0.874065423,1.057756209,0.493064913
710,0.81615339,0.985435683,0.503819297
711,0.764222159,0.908440854,0.538030648
712,0.732307292,0.841455945,0.60740936
713,0.732464506,0.790007736,0.723402072
714,0.781074107,0.773485585,0.896886771
715,0.892215557,0.807020044,1.141137268
716,1.077911232,0.900562032,1.472169588
717,1.341538549,1.063967985,1.856434905
718,1.661365181,1.289216472,2.324161194
719,1.995818694,1.548396912,2.815105325
720,2.302644944,1.810372793,3.335449404
721,2.547483286,2.038794164,3.776648242
722,2.69830602,2.200916351,4.207502267
723,2.747302354,2.277254197,4.602367415
724,2.707672427,2.286572572,4.977834532
725,2.605972964,2.242752911,5.343440045
726,2.467775422,2.171711505,5.74547004
727,2.318873514,2.096936754,6.221637401
728,2.17476373,2.027073348,6.78676408
729,2.048898683,1.969343341,7.449533126
730,1.941370171,1.927703871,8.168301427
731,1.85220719,1.903322467,8.973866049
732,1.777767543,1.892558414,9.934574956
733,1.717915232,1.895615898,10.97872069
734,1.668197999,1.911106978,12.14417776
735,1.628340931,1.937633271,13.4061689
736,1.596628862,1.974102139,14.77500164
737,1.573429719,2.023020926,16.20107876
738,1.557807087,2.081929494,17.74209842
739,1.551016458,2.152740963,19.34441616
740,1.551987434,2.236306348,21.00815374
741,1.561854704,2.328343288,22.6556204
742,1.581280319,2.431602527,24.32493519
743,1.61070364,2.554501737,25.95910189
744,1.651571935,2.688992758,27.53320381
745,1.703822373,2.855170434,29.07348382
746,1.766750703,3.02505974,30.49455325
747,1.84322762,3.213173916,31.77647923
748,1.934328413,3.409054251,32.90685889
749,2.040078306,3.618275985,33.81652139
750,2.160728753,3.851262098,34.43318383
751,2.299416471,4.07812853,34.67220281
752,2.454557599,4.32863596,34.48418093
753,2.631647205,4.598434143,33.80984346
754,2.825673603,4.870621646,32.62800289
755,3.03864287,5.113925974,31.00898863
756,3.28050666,5.367471948,29.00696943
757,3.547727202,5.592904854,26.7838884
758,3.815384909,5.836604508,24.4303478
759,4.075657204,6.030894524,22.12168813
760,4.402753644,6.231289323,19.92096018
761,4.679364083,6.441531407,18.00475684
762,4.935111951,6.545773771,16.32866623
763,5.154652956,6.634694148,14.93845471
764,5.343591816,6.670510603,13.7559605
765,5.481659411,6.677869674,12.78017941
766,5.57612914,6.630303826,11.94509982
767,5.615834722,6.621793603,11.25268143
768,5.678498953,6.558034538,10.6477781
769,5.649275379,6.463375103,10.12042752
770,5.617903337,6.41849872,9.674007026
771,5.574945095,6.261679309,9.321930708
772,5.508988754,6.182605498,8.978328245
773,5.447211211,6.063694689,8.695727656
774,5.366386416,5.974414421,8.377586588
775,5.333184824,5.865265557,8.130544488
776,5.255577184,5.815694068,7.948657621
777,5.158739748,5.724451789,7.738805224
778,5.081070966,5.625118728,7.568475085
779,5.044166367,5.558920452,7.449395152
780,4.994688051,5.517727433,7.348839094
781,4.937500543,5.445990403,7.272416664
782,4.884262953,5.40710713,7.214575611
783,4.862319514,5.394941143,7.16015284
784,4.831071017,5.388028421,7.149782069
785,4.810169408,5.402904973,7.217521842
786,4.792966966,5.403835772,7.314235905
787,4.808897055,5.421061274,7.394701425
788,4.813693934,5.480814658,7.526265523
789,4.839695657,5.507359092,7.708113038
790,4.879601152,5.583660851,7.924004297
791,4.943757472,5.685769427,8.18259962
792,5.001878819,5.765888106,8.466019451
793,5.063902317,5.900677169,8.819763719
794,5.177875082,6.061369385,9.241576719
795,5.240286839,6.193971835,9.670881708
796,5.377793007,6.35876983,10.21918914
797,5.506687709,6.567259948,10.76971736
798,5.642207949,6.705019162,11.41009465
799,5.787668085,6.941424662,12.05063033
800,5.922637191,7.10335571,12.74969002
801,6.067314621,7.335295012,13.48797029
802,6.238033809,7.501497527,14.30452796
803,6.383346656,7.72334275,15.05941247
804,6.570992259,7.940579378,15.91012836
805,6.706430436,8.091712178,16.80997024
806,6.841256246,8.299575341,17.63416133
807,6.956639394,8.451334566,18.46829003
808,7.099014842,8.578381383,19.22569662
809,7.203617174,8.659997706,19.91394133
810,7.290148447,8.810823297,20.54937706
811,7.349643096,8.830386988,21.0747412
812,7.41617955,8.923938154,21.5524395
813,7.445477616,8.936611368,21.81846917
814,7.496112339,8.918302033,21.96323036
815,7.50868125,8.890571521,21.97102356
816,7.49442758,8.862620312,21.71385067
817,7.473524063,8.756232327,21.42852267
818,7.43768136,8.658512071,20.98702305
819,7.402439103,8.56525043,20.36371235
820,7.3292462,8.44234695,19.84797368
821,7.254340249,8.295524399,19.11144996
822,7.170626164,8.179956489,18.38497955
823,7.061741548,8.027753589,17.6744663
824,6.949677018,7.852263649,16.74516818
825,6.849331082,7.690836423,15.8594489
826,6.724888876,7.527072111,15.00405927
827,6.593567438,7.317121124,14.12843407
828,6.470230092,7.114642991,13.38373471
829,6.353903331,6.965113584,12.65645673
830,6.229132899,6.750989278,11.9697287
831,6.061754764,6.574244286,11.23353023
832,5.91114434,6.383948107,10.57698597
833,5.816013956,6.243232914,9.94046578
834,5.637811616,6.045792133,9.338334299
835,5.510068414,5.851222166,8.767220298
836,5.363197019,5.732063697,8.259385478
837,5.256963925,5.551040529,7.797018163
838,5.097293817,5.428343508,7.421090674
839,5.007827827,5.290875748,7.057793159
840,4.87805362,5.187765379,6.77063778
841,4.751240581,5.041125367,6.505421625
842,4.657155455,4.925115611,6.25171811
843,4.551615696,4.873952691,6.038133064
844,4.447492186,4.79434061,5.860422066
845,4.380757653,4.744611576,5.760404244
846,4.296579559,4.702166516,5.647493535
847,4.233395669,4.654003756,5.621479353
848,4.192962548,4.615903344,5.612007526
849,4.166990561,4.65794272,5.644276257
850,4.17291451,4.670638219,5.699168559
851,4.153157915,4.729713894,5.805389813
852,4.172021014,4.766842636,5.979730119
853,4.229117095,4.856000345,6.189966119
854,4.252844592,4.975942564,6.444969146
855,4.352125115,5.112041719,6.758954439
856,4.44870072,5.290312773,7.14433339
857,4.519985307,5.432537361,7.612721226
858,4.675721068,5.63471174,8.131035659
859,4.830289629,5.873717223,8.733079704
