,eta,epsilon,sigma_init,mu,K,r2,mse,CB_size,tradeOff_dist
290,0.02,50.000499999999995,50.0075,0.7500249999999999,2,,,,
291,0.02,50.000499999999995,50.0075,0.7500249999999999,6,,,,
292,0.02,50.000499999999995,50.0075,0.7500249999999999,11,,,,
293,0.02,50.000499999999995,50.0075,0.7500249999999999,15,,,,
294,0.02,50.000499999999995,50.0075,0.7500249999999999,20,,,,
295,0.02,50.000499999999995,50.0075,1.0,2,,,,
296,0.02,50.000499999999995,50.0075,1.0,6,,,,
297,0.02,50.000499999999995,50.0075,1.0,11,,,,
298,0.02,50.000499999999995,50.0075,1.0,15,,,,
299,0.02,50.000499999999995,50.0075,1.0,20,,,,
300,0.02,50.000499999999995,100.00500000000001,0.0001,2,,,,
301,0.02,50.000499999999995,100.00500000000001,0.0001,6,,,,
302,0.02,50.000499999999995,100.00500000000001,0.0001,11,,,,
303,0.02,50.000499999999995,100.00500000000001,0.0001,15,,,,
304,0.02,50.000499999999995,100.00500000000001,0.0001,20,,,,
305,0.02,50.000499999999995,100.00500000000001,0.250075,2,,,,
306,0.02,50.000499999999995,100.00500000000001,0.250075,6,,,,
307,0.02,50.000499999999995,100.00500000000001,0.250075,11,,,,
308,0.02,50.000499999999995,100.00500000000001,0.250075,15,,,,
309,0.02,50.000499999999995,100.00500000000001,0.250075,20,,,,
310,0.02,50.000499999999995,100.00500000000001,0.50005,2,,,,
311,0.02,50.000499999999995,100.00500000000001,0.50005,6,,,,
312,0.02,50.000499999999995,100.00500000000001,0.50005,11,,,,
313,0.02,50.000499999999995,100.00500000000001,0.50005,15,,,,
314,0.02,50.000499999999995,100.00500000000001,0.50005,20,,,,
315,0.02,50.000499999999995,100.00500000000001,0.7500249999999999,2,,,,
316,0.02,50.000499999999995,100.00500000000001,0.7500249999999999,6,,,,
317,0.02,50.000499999999995,100.00500000000001,0.7500249999999999,11,,,,
318,0.02,50.000499999999995,100.00500000000001,0.7500249999999999,15,,,,
319,0.02,50.000499999999995,100.00500000000001,0.7500249999999999,20,,,,
320,0.02,50.000499999999995,100.00500000000001,1.0,2,,,,
321,0.02,50.000499999999995,100.00500000000001,1.0,6,,,,
322,0.02,50.000499999999995,100.00500000000001,1.0,11,,,,
323,0.02,50.000499999999995,100.00500000000001,1.0,15,,,,
324,0.02,50.000499999999995,100.00500000000001,1.0,20,,,,
325,0.02,50.000499999999995,150.0025,0.0001,2,,,,
326,0.02,50.000499999999995,150.0025,0.0001,6,,,,
327,0.02,50.000499999999995,150.0025,0.0001,11,,,,
328,0.02,50.000499999999995,150.0025,0.0001,15,,,,
329,0.02,50.000499999999995,150.0025,0.0001,20,,,,
330,0.02,50.000499999999995,150.0025,0.250075,2,,,,
331,0.02,50.000499999999995,150.0025,0.250075,6,,,,
332,0.02,50.000499999999995,150.0025,0.250075,11,,,,
333,0.02,50.000499999999995,150.0025,0.250075,15,,,,
334,0.02,50.000499999999995,150.0025,0.250075,20,,,,
335,0.02,50.000499999999995,150.0025,0.50005,2,,,,
336,0.02,50.000499999999995,150.0025,0.50005,6,,,,
337,0.02,50.000499999999995,150.0025,0.50005,11,,,,
338,0.02,50.000499999999995,150.0025,0.50005,15,,,,
339,0.02,50.000499999999995,150.0025,0.50005,20,,,,
340,0.02,50.000499999999995,150.0025,0.7500249999999999,2,,,,
341,0.02,50.000499999999995,150.0025,0.7500249999999999,6,,,,
342,0.02,50.000499999999995,150.0025,0.7500249999999999,11,,,,
343,0.02,50.000499999999995,150.0025,0.7500249999999999,15,,,,
344,0.02,50.000499999999995,150.0025,0.7500249999999999,20,,,,
345,0.02,50.000499999999995,150.0025,1.0,2,,,,
346,0.02,50.000499999999995,150.0025,1.0,6,,,,
347,0.02,50.000499999999995,150.0025,1.0,11,,,,
348,0.02,50.000499999999995,150.0025,1.0,15,,,,
349,0.02,50.000499999999995,150.0025,1.0,20,,,,
350,0.02,50.000499999999995,200.0,0.0001,2,,,,
351,0.02,50.000499999999995,200.0,0.0001,6,,,,
352,0.02,50.000499999999995,200.0,0.0001,11,,,,
353,0.02,50.000499999999995,200.0,0.0001,15,,,,
354,0.02,50.000499999999995,200.0,0.0001,20,,,,
355,0.02,50.000499999999995,200.0,0.250075,2,,,,
356,0.02,50.000499999999995,200.0,0.250075,6,,,,
357,0.02,50.000499999999995,200.0,0.250075,11,,,,
358,0.02,50.000499999999995,200.0,0.250075,15,,,,
359,0.02,50.000499999999995,200.0,0.250075,20,,,,
360,0.02,50.000499999999995,200.0,0.50005,2,,,,
361,0.02,50.000499999999995,200.0,0.50005,6,,,,
362,0.02,50.000499999999995,200.0,0.50005,11,,,,
363,0.02,50.000499999999995,200.0,0.50005,15,,,,
364,0.02,50.000499999999995,200.0,0.50005,20,,,,
365,0.02,50.000499999999995,200.0,0.7500249999999999,2,,,,
366,0.02,50.000499999999995,200.0,0.7500249999999999,6,,,,
367,0.02,50.000499999999995,200.0,0.7500249999999999,11,,,,
368,0.02,50.000499999999995,200.0,0.7500249999999999,15,,,,
369,0.02,50.000499999999995,200.0,0.7500249999999999,20,,,,
370,0.02,50.000499999999995,200.0,1.0,2,,,,
371,0.02,50.000499999999995,200.0,1.0,6,,,,
372,0.02,50.000499999999995,200.0,1.0,11,,,,
373,0.02,50.000499999999995,200.0,1.0,15,,,,
374,0.02,50.000499999999995,200.0,1.0,20,,,,
375,0.02,75.00025,0.01,0.0001,2,,,,
376,0.02,75.00025,0.01,0.0001,6,,,,
