,eta,epsilon,sigma,r2,mse,CB_size,tradeOff_dist
75,0.42,5,124,0.915663474,4.742937944,634,634.0177407
88,0.42,23,162,0.914972111,4.781819004,113,113.1011308
106,0.42,50,162,0.914770199,4.793174169,31,31.36836812
134,0.58,41,86,0.912087327,4.944054183,45,45.27078166
122,0.58,23,86,0.911970288,4.950636222,113,113.108394
100,0.42,41,162,0.910753553,5.019063284,45,45.27903484
81,0.42,14,124,0.906270422,5.271186665,206,206.0674293
151,0.74,14,48,0.902817467,5.465374804,206,206.072488
80,0.42,14,86,0.901699213,5.528263446,206,206.0741655
87,0.42,23,124,0.901549366,5.536690596,113,113.13556
93,0.42,32,124,0.900207838,5.612135749,66,66.23817681
109,0.58,5,48,0.898133968,5.728766582,634,634.0258818
99,0.42,41,124,0.898050307,5.733471524,45,45.36378176
105,0.42,50,124,0.897515421,5.763552535,31,31.53123115
140,0.58,50,86,0.897371508,5.771645938,31,31.53271154
