,eta,epsilon,sigma_init,mu,K,r2,mse,CB_size,tradeOff_dist
2654,0.9,25.00075,50.0075,0.0001,20,-0.39590448165894454,7.373787367356856,1,7.441286188488624
2655,0.9,25.00075,50.0075,0.250075,2,-0.39590448165894454,7.373787367356856,1,7.441286188488624
2656,0.9,25.00075,50.0075,0.250075,6,-0.39590448165894454,7.373787367356856,1,7.441286188488624
2657,0.9,25.00075,50.0075,0.250075,11,-0.39590448165894454,7.373787367356856,1,7.441286188488624
2658,0.9,25.00075,50.0075,0.250075,15,-0.39590448165894454,7.373787367356856,1,7.441286188488624
2659,0.9,25.00075,50.0075,0.250075,20,-0.39590448165894454,7.373787367356856,1,7.441286188488624
2660,0.9,25.00075,50.0075,0.50005,2,-0.39590448165894454,7.373787367356856,1,7.441286188488624
2661,0.9,25.00075,50.0075,0.50005,6,-0.39590448165894454,7.373787367356856,1,7.441286188488624
2662,0.9,25.00075,50.0075,0.50005,11,-0.39590448165894454,7.373787367356856,1,7.441286188488624
2663,0.9,25.00075,50.0075,0.50005,15,-0.39590448165894454,7.373787367356856,1,7.441286188488624
2664,0.9,25.00075,50.0075,0.50005,20,-0.39590448165894454,7.373787367356856,1,7.441286188488624
2665,0.9,25.00075,50.0075,0.7500249999999999,2,-0.39590448165894454,7.373787367356856,1,7.441286188488624
2666,0.9,25.00075,50.0075,0.7500249999999999,6,-0.39590448165894454,7.373787367356856,1,7.441286188488624
2667,0.9,25.00075,50.0075,0.7500249999999999,11,-0.39590448165894454,7.373787367356856,1,7.441286188488624
2668,0.9,25.00075,50.0075,0.7500249999999999,15,-0.39590448165894454,7.373787367356856,1,7.441286188488624
2669,0.9,25.00075,50.0075,0.7500249999999999,20,-0.39590448165894454,7.373787367356856,1,7.441286188488624
2670,0.9,25.00075,50.0075,1.0,2,-0.39590448165894454,7.373787367356856,1,7.441286188488624
2671,0.9,25.00075,50.0075,1.0,6,-0.39590448165894454,7.373787367356856,1,7.441286188488624
2672,0.9,25.00075,50.0075,1.0,11,-0.39590448165894454,7.373787367356856,1,7.441286188488624
2673,0.9,25.00075,50.0075,1.0,15,-0.39590448165894454,7.373787367356856,1,7.441286188488624
2674,0.9,25.00075,50.0075,1.0,20,-0.39590448165894454,7.373787367356856,1,7.441286188488624
2675,0.9,25.00075,100.00500000000001,0.0001,2,-0.39544087488841373,7.3713383905157635,1,7.4388594332391795
2676,0.9,25.00075,100.00500000000001,0.0001,6,-0.39544087488841373,7.3713383905157635,1,7.4388594332391795
2677,0.9,25.00075,100.00500000000001,0.0001,11,-0.39544087488841373,7.3713383905157635,1,7.4388594332391795
2678,0.9,25.00075,100.00500000000001,0.0001,15,-0.39544087488841373,7.3713383905157635,1,7.4388594332391795
2679,0.9,25.00075,100.00500000000001,0.0001,20,-0.39544087488841373,7.3713383905157635,1,7.4388594332391795
2680,0.9,25.00075,100.00500000000001,0.250075,2,-0.39544087488841373,7.3713383905157635,1,7.4388594332391795
2681,0.9,25.00075,100.00500000000001,0.250075,6,-0.39544087488841373,7.3713383905157635,1,7.4388594332391795
2682,0.9,25.00075,100.00500000000001,0.250075,11,-0.39544087488841373,7.3713383905157635,1,7.4388594332391795
2683,0.9,25.00075,100.00500000000001,0.250075,15,-0.39544087488841373,7.3713383905157635,1,7.4388594332391795
2684,0.9,25.00075,100.00500000000001,0.250075,20,-0.39544087488841373,7.3713383905157635,1,7.4388594332391795
2685,0.9,25.00075,100.00500000000001,0.50005,2,-0.39544087488841373,7.3713383905157635,1,7.4388594332391795
2686,0.9,25.00075,100.00500000000001,0.50005,6,-0.39544087488841373,7.3713383905157635,1,7.4388594332391795
2687,0.9,25.00075,100.00500000000001,0.50005,11,-0.39544087488841373,7.3713383905157635,1,7.4388594332391795
2688,0.9,25.00075,100.00500000000001,0.50005,15,-0.39544087488841373,7.3713383905157635,1,7.4388594332391795
2689,0.9,25.00075,100.00500000000001,0.50005,20,-0.39544087488841373,7.3713383905157635,1,7.4388594332391795
2690,0.9,25.00075,100.00500000000001,0.7500249999999999,2,-0.39544087488841373,7.3713383905157635,1,7.4388594332391795
2691,0.9,25.00075,100.00500000000001,0.7500249999999999,6,-0.39544087488841373,7.3713383905157635,1,7.4388594332391795
2692,0.9,25.00075,100.00500000000001,0.7500249999999999,11,-0.39544087488841373,7.3713383905157635,1,7.4388594332391795
2693,0.9,25.00075,100.00500000000001,0.7500249999999999,15,-0.39544087488841373,7.3713383905157635,1,7.4388594332391795
2694,0.9,25.00075,100.00500000000001,0.7500249999999999,20,-0.39544087488841373,7.3713383905157635,1,7.4388594332391795
2695,0.9,25.00075,100.00500000000001,1.0,2,-0.39544087488841373,7.3713383905157635,1,7.4388594332391795
2696,0.9,25.00075,100.00500000000001,1.0,6,-0.39544087488841373,7.3713383905157635,1,7.4388594332391795
