,eta,epsilon,mu,K,r2,mse,CB_size,tradeOff_dist
275,0.216,20.0008,0.6000399999999999,20,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
276,0.216,20.0008,0.80002,2,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
277,0.216,20.0008,0.80002,5,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
278,0.216,20.0008,0.80002,9,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
279,0.216,20.0008,0.80002,12,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
280,0.216,20.0008,0.80002,16,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
281,0.216,20.0008,0.80002,20,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
282,0.216,20.0008,1.0,2,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
283,0.216,20.0008,1.0,5,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
284,0.216,20.0008,1.0,9,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
285,0.216,20.0008,1.0,12,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
286,0.216,20.0008,1.0,16,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
287,0.216,20.0008,1.0,20,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
288,0.216,40.0006,0.0001,2,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
289,0.216,40.0006,0.0001,5,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
290,0.216,40.0006,0.0001,9,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
291,0.216,40.0006,0.0001,12,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
292,0.216,40.0006,0.0001,16,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
293,0.216,40.0006,0.0001,20,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
294,0.216,40.0006,0.20007999999999998,2,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
295,0.216,40.0006,0.20007999999999998,5,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
296,0.216,40.0006,0.20007999999999998,9,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
297,0.216,40.0006,0.20007999999999998,12,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
298,0.216,40.0006,0.20007999999999998,16,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
299,0.216,40.0006,0.20007999999999998,20,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
300,0.216,40.0006,0.40005999999999997,2,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
301,0.216,40.0006,0.40005999999999997,5,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
302,0.216,40.0006,0.40005999999999997,9,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
303,0.216,40.0006,0.40005999999999997,12,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
304,0.216,40.0006,0.40005999999999997,16,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
305,0.216,40.0006,0.40005999999999997,20,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
306,0.216,40.0006,0.6000399999999999,2,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
307,0.216,40.0006,0.6000399999999999,5,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
308,0.216,40.0006,0.6000399999999999,9,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
309,0.216,40.0006,0.6000399999999999,12,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
310,0.216,40.0006,0.6000399999999999,16,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
311,0.216,40.0006,0.6000399999999999,20,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
312,0.216,40.0006,0.80002,2,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
313,0.216,40.0006,0.80002,5,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
314,0.216,40.0006,0.80002,9,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
315,0.216,40.0006,0.80002,12,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
316,0.216,40.0006,0.80002,16,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
317,0.216,40.0006,0.80002,20,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
318,0.216,40.0006,1.0,2,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
319,0.216,40.0006,1.0,5,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
320,0.216,40.0006,1.0,9,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
321,0.216,40.0006,1.0,12,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
322,0.216,40.0006,1.0,16,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
323,0.216,40.0006,1.0,20,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
324,0.216,60.0004,0.0001,2,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
325,0.216,60.0004,0.0001,5,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
326,0.216,60.0004,0.0001,9,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
327,0.216,60.0004,0.0001,12,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
328,0.216,60.0004,0.0001,16,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
329,0.216,60.0004,0.0001,20,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
330,0.216,60.0004,0.20007999999999998,2,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
331,0.216,60.0004,0.20007999999999998,5,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
332,0.216,60.0004,0.20007999999999998,9,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
333,0.216,60.0004,0.20007999999999998,12,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
334,0.216,60.0004,0.20007999999999998,16,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
335,0.216,60.0004,0.20007999999999998,20,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
336,0.216,60.0004,0.40005999999999997,2,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
337,0.216,60.0004,0.40005999999999997,5,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
338,0.216,60.0004,0.40005999999999997,9,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
339,0.216,60.0004,0.40005999999999997,12,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
340,0.216,60.0004,0.40005999999999997,16,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
341,0.216,60.0004,0.40005999999999997,20,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
342,0.216,60.0004,0.6000399999999999,2,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
343,0.216,60.0004,0.6000399999999999,5,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
344,0.216,60.0004,0.6000399999999999,9,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
345,0.216,60.0004,0.6000399999999999,12,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
346,0.216,60.0004,0.6000399999999999,16,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
347,0.216,60.0004,0.6000399999999999,20,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
348,0.216,60.0004,0.80002,2,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
349,0.216,60.0004,0.80002,5,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
350,0.216,60.0004,0.80002,9,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
351,0.216,60.0004,0.80002,12,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
352,0.216,60.0004,0.80002,16,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
353,0.216,60.0004,0.80002,20,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
354,0.216,60.0004,1.0,2,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
355,0.216,60.0004,1.0,5,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
356,0.216,60.0004,1.0,9,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
357,0.216,60.0004,1.0,12,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
358,0.216,60.0004,1.0,16,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
359,0.216,60.0004,1.0,20,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
360,0.216,80.0002,0.0001,2,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
361,0.216,80.0002,0.0001,5,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
362,0.216,80.0002,0.0001,9,-0.17136790974254468,6.192564505292734,1.0,6.272786872850969
