,eta,epsilon,mu,K,r2,mse,CB_size,tradeOff_dist
377,0.216,80.0002,0.40005999999999997,20,,,,
378,0.216,80.0002,0.6000399999999999,2,,,,
379,0.216,80.0002,0.6000399999999999,5,,,,
380,0.216,80.0002,0.6000399999999999,9,,,,
381,0.216,80.0002,0.6000399999999999,12,,,,
382,0.216,80.0002,0.6000399999999999,16,,,,
383,0.216,80.0002,0.6000399999999999,20,,,,
384,0.216,80.0002,0.80002,2,,,,
385,0.216,80.0002,0.80002,5,,,,
386,0.216,80.0002,0.80002,9,,,,
387,0.216,80.0002,0.80002,12,,,,
388,0.216,80.0002,0.80002,16,,,,
389,0.216,80.0002,0.80002,20,,,,
390,0.216,80.0002,1.0,2,,,,
391,0.216,80.0002,1.0,5,,,,
392,0.216,80.0002,1.0,9,,,,
393,0.216,80.0002,1.0,12,,,,
394,0.216,80.0002,1.0,16,,,,
395,0.216,80.0002,1.0,20,,,,
396,0.216,100.0,0.0001,2,,,,
397,0.216,100.0,0.0001,5,,,,
398,0.216,100.0,0.0001,9,,,,
399,0.216,100.0,0.0001,12,,,,
400,0.216,100.0,0.0001,16,-0.003193143405111565,7043683.593359616,14.0,7043683.593373529
401,0.216,100.0,0.0001,20,-0.003193143405111565,7043683.593359616,14.0,7043683.593373529
402,0.216,100.0,0.20007999999999998,2,,,,
403,0.216,100.0,0.20007999999999998,5,,,,
404,0.216,100.0,0.20007999999999998,9,,,,
405,0.216,100.0,0.20007999999999998,12,,,,
406,0.216,100.0,0.20007999999999998,16,-0.003193143405111565,7043683.593359616,14.0,7043683.593373529
407,0.216,100.0,0.20007999999999998,20,-0.003193143405111565,7043683.593359616,14.0,7043683.593373529
408,0.216,100.0,0.40005999999999997,2,,,,
409,0.216,100.0,0.40005999999999997,5,,,,
410,0.216,100.0,0.40005999999999997,9,,,,
411,0.216,100.0,0.40005999999999997,12,,,,
412,0.216,100.0,0.40005999999999997,16,-0.003193143405111565,7043683.593359616,14.0,7043683.593373529
413,0.216,100.0,0.40005999999999997,20,-0.003193143405111565,7043683.593359616,14.0,7043683.593373529
414,0.216,100.0,0.6000399999999999,2,,,,
415,0.216,100.0,0.6000399999999999,5,,,,
416,0.216,100.0,0.6000399999999999,9,,,,
417,0.216,100.0,0.6000399999999999,12,,,,
418,0.216,100.0,0.6000399999999999,16,-0.003193143405111565,7043683.593359616,14.0,7043683.593373529
419,0.216,100.0,0.6000399999999999,20,-0.003193143405111565,7043683.593359616,14.0,7043683.593373529
420,0.216,100.0,0.80002,2,,,,
421,0.216,100.0,0.80002,5,,,,
422,0.216,100.0,0.80002,9,,,,
423,0.216,100.0,0.80002,12,,,,
424,0.216,100.0,0.80002,16,-0.003193143405111565,7043683.593359616,14.0,7043683.593373529
425,0.216,100.0,0.80002,20,-0.003193143405111565,7043683.593359616,14.0,7043683.593373529
426,0.216,100.0,1.0,2,,,,
427,0.216,100.0,1.0,5,,,,
428,0.216,100.0,1.0,9,,,,
429,0.216,100.0,1.0,12,,,,
430,0.216,100.0,1.0,16,-0.003193143405111565,7043683.593359616,14.0,7043683.593373529
431,0.216,100.0,1.0,20,-0.003193143405111565,7043683.593359616,14.0,7043683.593373529
432,0.41200000000000003,0.001,0.0001,2,0.028449420811556325,6821512.806118929,1961.0,6821513.087986091
433,0.41200000000000003,0.001,0.0001,5,0.24768213880852685,5282222.083256291,1961.0,5282222.447262273
434,0.41200000000000003,0.001,0.0001,9,0.1735768877591951,5802534.591799014,1960.0,5802534.9228267595
435,0.41200000000000003,0.001,0.0001,12,0.8966886803171884,725376.0178106519,1888.0,725378.4748383696
436,0.41200000000000003,0.001,0.0001,16,0.7723494620463134,1598394.4564863762,1904.0,1598395.5905039208
437,0.41200000000000003,0.001,0.0001,20,0.010201465187759884,6949636.514384531,1928.0,6949636.781821823
438,0.41200000000000003,0.001,0.20007999999999998,2,,,,
439,0.41200000000000003,0.001,0.20007999999999998,5,,,,
440,0.41200000000000003,0.001,0.20007999999999998,9,,,,
441,0.41200000000000003,0.001,0.20007999999999998,12,,,,
442,0.41200000000000003,0.001,0.20007999999999998,16,,,,
443,0.41200000000000003,0.001,0.20007999999999998,20,,,,
444,0.41200000000000003,0.001,0.40005999999999997,2,,,,
445,0.41200000000000003,0.001,0.40005999999999997,5,,,,
446,0.41200000000000003,0.001,0.40005999999999997,9,,,,
447,0.41200000000000003,0.001,0.40005999999999997,12,,,,
448,0.41200000000000003,0.001,0.40005999999999997,16,,,,
449,0.41200000000000003,0.001,0.40005999999999997,20,,,,
450,0.41200000000000003,0.001,0.6000399999999999,2,,,,
451,0.41200000000000003,0.001,0.6000399999999999,5,,,,
452,0.41200000000000003,0.001,0.6000399999999999,9,,,,
453,0.41200000000000003,0.001,0.6000399999999999,12,,,,
454,0.41200000000000003,0.001,0.6000399999999999,16,,,,
455,0.41200000000000003,0.001,0.6000399999999999,20,,,,
456,0.41200000000000003,0.001,0.80002,2,,,,
457,0.41200000000000003,0.001,0.80002,5,,,,
458,0.41200000000000003,0.001,0.80002,9,,,,
459,0.41200000000000003,0.001,0.80002,12,,,,
460,0.41200000000000003,0.001,0.80002,16,,,,
461,0.41200000000000003,0.001,0.80002,20,,,,
462,0.41200000000000003,0.001,1.0,2,,,,
463,0.41200000000000003,0.001,1.0,5,,,,
464,0.41200000000000003,0.001,1.0,9,,,,
465,0.41200000000000003,0.001,1.0,12,,,,
466,0.41200000000000003,0.001,1.0,16,,,,
467,0.41200000000000003,0.001,1.0,20,,,,
468,0.41200000000000003,20.0008,0.0001,2,,,,
